event_id,timestamp,item_id,item_name,action_type,qty_change,day_of_week,is_weekend,notes
61,2026-02-21 12:57:00,apple-001,organic apple,USE,-6.32,5,1,Breakfast service
69,2026-02-21 14:44:00,egg-001,egg,USE,-7.77,5,1,Lunch prep
71,2026-02-21 15:28:00,cheese-001,cheddar cheese,USE,-0.2,5,1,Catering order
62,2026-02-21 16:05:00,apple-001,organic apple,RESTOCK,34.01,5,1,Weekly delivery
66,2026-02-21 16:52:00,egg-001,egg,ADD,33.03,5,1,Supplier drop-off
75,2026-02-21 16:57:00,yogurt-001,greek yogurt,RESTOCK,21.52,5,1,Emergency restock
63,2026-02-21 18:04:00,bread-001,sourdough bread,ADD,11.26,5,1,Weekly delivery
70,2026-02-21 18:25:00,cheese-001,cheddar cheese,USE,-0.15,5,1,Smoothie bar
76,2026-02-21 18:31:00,tomato-001,tomato,RESTOCK,30.89,5,1,Supplier drop-off
67,2026-02-21 18:52:00,egg-001,egg,USE,-5.94,5,1,Lunch prep
80,2026-02-21 19:11:00,tomato-001,tomato,RESTOCK,15.92,5,1,Weekly delivery
96,2026-02-22 07:06:00,tomato-001,tomato,RESTOCK,29.61,6,1,Supplier drop-off
85,2026-02-22 07:54:00,egg-001,egg,RESTOCK,87.5,6,1,Emergency restock
94,2026-02-22 08:04:00,tomato-001,tomato,USE,-2.97,6,1,Evening special
98,2026-02-22 09:44:00,chicken-001,chicken breast,RESTOCK,5.33,6,1,Supplier drop-off
83,2026-02-22 09:47:00,egg-001,egg,USE,-6.89,6,1,Afternoon service
87,2026-02-22 10:11:00,cheese-001,cheddar cheese,USE,-0.1,6,1,Baking batch
88,2026-02-22 11:34:00,yogurt-001,greek yogurt,USE,-1.56,6,1,Smoothie bar
89,2026-02-22 11:35:00,yogurt-001,greek yogurt,USE,-2.81,6,1,Catering order
90,2026-02-22 13:44:00,yogurt-001,greek yogurt,RESTOCK,34.53,6,1,Wholesale order
84,2026-02-22 14:22:00,egg-001,egg,USE,-4.8,6,1,Daily prep
95,2026-02-22 14:47:00,tomato-001,tomato,USE,-1.56,6,1,Morning rush
86,2026-02-22 15:21:00,cheese-001,cheddar cheese,RESTOCK,1.66,6,1,Emergency restock
91,2026-02-22 16:04:00,yogurt-001,greek yogurt,RESTOCK,39.36,6,1,Emergency restock
99,2026-02-22 16:19:00,chicken-001,chicken breast,USE,-0.77,6,1,Lunch prep
81,2026-02-22 16:33:00,coffee-001,coffee bean,USE,-143.45,6,1,Customer order
93,2026-02-22 16:43:00,yogurt-001,greek yogurt,WASTE,-0.78,6,1,Expired — composted
97,2026-02-22 17:09:00,chicken-001,chicken breast,ADD,5.51,6,1,Farmers market purchase
92,2026-02-22 17:17:00,yogurt-001,greek yogurt,ADD,18.19,6,1,Supplier drop-off
82,2026-02-22 17:28:00,apple-001,organic apple,USE,-3.62,6,1,Recipe testing
108,2026-02-23 07:08:00,bread-001,sourdough bread,USE,-1.27,0,0,Baking batch
123,2026-02-23 07:23:00,oj-001,orange juice,ADD,3.64,0,0,Emergency restock
110,2026-02-23 08:09:00,egg-001,egg,ADD,46.08,0,0,Supplier drop-off
122,2026-02-23 08:37:00,chicken-001,chicken breast,RESTOCK,9.13,0,0,Emergency restock
113,2026-02-23 08:40:00,yogurt-001,greek yogurt,ADD,22.57,0,0,Wholesale order
109,2026-02-23 08:50:00,egg-001,egg,RESTOCK,85.35,0,0,Emergency restock
119,2026-02-23 09:58:00,tomato-001,tomato,USE,-1.3,0,0,Customer order
105,2026-02-23 11:07:00,bread-001,sourdough bread,USE,-0.81,0,0,Baking batch
115,2026-02-23 11:13:00,tomato-001,tomato,ADD,12.53,0,0,Supplier drop-off
107,2026-02-23 11:40:00,bread-001,sourdough bread,USE,-1.02,0,0,Recipe testing
100,2026-02-23 12:52:00,coffee-001,coffee bean,USE,-91.24,0,0,Evening special
104,2026-02-23 12:53:00,apple-001,organic apple,USE,-3.99,0,0,Recipe testing
112,2026-02-23 12:58:00,yogurt-001,greek yogurt,USE,-1.47,0,0,Evening special
114,2026-02-23 13:05:00,yogurt-001,greek yogurt,USE,-1.29,0,0,Daily prep
120,2026-02-23 13:14:00,chicken-001,chicken breast,ADD,5.65,0,0,Farmers market purchase
118,2026-02-23 13:25:00,tomato-001,tomato,USE,-1.02,0,0,Smoothie bar
117,2026-02-23 14:31:00,tomato-001,tomato,USE,-1.84,0,0,Customer order
106,2026-02-23 14:57:00,bread-001,sourdough bread,USE,-1.53,0,0,Smoothie bar
103,2026-02-23 15:17:00,coffee-001,coffee bean,USE,-79.69,0,0,Evening special
124,2026-02-23 16:50:00,oj-001,orange juice,RESTOCK,4.49,0,0,Wholesale order
125,2026-02-23 16:55:00,oj-001,orange juice,USE,-0.43,0,0,Baking batch
102,2026-02-23 17:36:00,coffee-001,coffee bean,RESTOCK,1127.7,0,0,Supplier drop-off
121,2026-02-23 17:50:00,chicken-001,chicken breast,ADD,5.88,0,0,Supplier drop-off
111,2026-02-23 19:04:00,egg-001,egg,RESTOCK,87.96,0,0,Emergency restock
116,2026-02-23 19:12:00,tomato-001,tomato,USE,-1.0,0,0,Breakfast service
101,2026-02-23 19:46:00,coffee-001,coffee bean,WASTE,-12.34,0,0,Mould found
132,2026-02-24 07:13:00,apple-001,organic apple,USE,-3.72,1,0,Smoothie bar
126,2026-02-24 08:12:00,milk-001,whole milk,USE,-1.12,1,0,Lunch prep
135,2026-02-24 08:44:00,yogurt-001,greek yogurt,ADD,17.97,1,0,Farmers market purchase
136,2026-02-24 09:06:00,yogurt-001,greek yogurt,USE,-1.08,1,0,Smoothie bar
130,2026-02-24 09:18:00,coffee-001,coffee bean,WASTE,-28.85,1,0,Quality issue
134,2026-02-24 10:00:00,egg-001,egg,USE,-2.01,1,0,Lunch prep
128,2026-02-24 10:55:00,coffee-001,coffee bean,USE,-45.34,1,0,Lunch prep
131,2026-02-24 11:40:00,apple-001,organic apple,USE,-2.8,1,0,Recipe testing
141,2026-02-24 12:33:00,oj-001,orange juice,USE,-0.36,1,0,Daily prep
138,2026-02-24 12:34:00,yogurt-001,greek yogurt,USE,-2.28,1,0,Baking batch
133,2026-02-24 12:46:00,bread-001,sourdough bread,USE,-1.31,1,0,Customer order
139,2026-02-24 13:56:00,tomato-001,tomato,ADD,10.19,1,0,Wholesale order
129,2026-02-24 17:28:00,coffee-001,coffee bean,USE,-91.62,1,0,Afternoon service
137,2026-02-24 17:46:00,yogurt-001,greek yogurt,USE,-2.24,1,0,Customer order
127,2026-02-24 17:50:00,milk-001,whole milk,USE,-1.08,1,0,Morning rush
142,2026-02-24 18:18:00,oj-001,orange juice,USE,-0.36,1,0,Morning rush
140,2026-02-24 19:19:00,chicken-001,chicken breast,USE,-0.37,1,0,Catering order
161,2026-02-25 07:24:00,chicken-001,chicken breast,USE,-0.47,2,0,Recipe testing
163,2026-02-25 09:07:00,oj-001,orange juice,USE,-0.28,2,0,Customer order
156,2026-02-25 09:34:00,yogurt-001,greek yogurt,WASTE,-0.44,2,0,Mould found
147,2026-02-25 10:14:00,apple-001,organic apple,USE,-3.92,2,0,Recipe testing
144,2026-02-25 10:29:00,coffee-001,coffee bean,USE,-57.69,2,0,Recipe testing
158,2026-02-25 11:04:00,tomato-001,tomato,ADD,17.9,2,0,Wholesale order
149,2026-02-25 11:05:00,bread-001,sourdough bread,USE,-1.78,2,0,Lunch prep
153,2026-02-25 11:08:00,cheese-001,cheddar cheese,USE,-0.06,2,0,Baking batch
157,2026-02-25 11:13:00,tomato-001,tomato,ADD,17.94,2,0,Emergency restock
155,2026-02-25 11:55:00,yogurt-001,greek yogurt,ADD,24.48,2,0,Supplier drop-off
150,2026-02-25 12:36:00,egg-001,egg,USE,-4.83,2,0,Catering order
162,2026-02-25 13:50:00,oj-001,orange juice,USE,-0.24,2,0,Daily prep
152,2026-02-25 14:09:00,egg-001,egg,USE,-3.48,2,0,Afternoon service
146,2026-02-25 14:36:00,coffee-001,coffee bean,ADD,430.98,2,0,Supplier drop-off
154,2026-02-25 14:37:00,cheese-001,cheddar cheese,ADD,1.14,2,0,Weekly delivery
159,2026-02-25 14:38:00,chicken-001,chicken breast,USE,-0.59,2,0,Lunch prep
145,2026-02-25 14:54:00,coffee-001,coffee bean,USE,-52.34,2,0,Daily prep
148,2026-02-25 17:07:00,bread-001,sourdough bread,USE,-1.91,2,0,Staff meal
143,2026-02-25 17:55:00,milk-001,whole milk,RESTOCK,18.11,2,0,Weekly delivery
160,2026-02-25 19:37:00,chicken-001,chicken breast,ADD,7.05,2,0,Supplier drop-off
151,2026-02-25 19:42:00,egg-001,egg,USE,-5.73,2,0,Smoothie bar
184,2026-02-26 07:06:00,oj-001,orange juice,USE,-0.5,3,0,Breakfast service
179,2026-02-26 08:06:00,tomato-001,tomato,USE,-1.89,3,0,Morning rush
180,2026-02-26 09:53:00,chicken-001,chicken breast,USE,-0.48,3,0,Evening special
166,2026-02-26 10:44:00,bread-001,sourdough bread,ADD,9.33,3,0,Supplier drop-off
175,2026-02-26 11:25:00,cheese-001,cheddar cheese,USE,-0.06,3,0,Lunch prep
178,2026-02-26 11:25:00,yogurt-001,greek yogurt,USE,-2.17,3,0,Evening special
174,2026-02-26 12:10:00,cheese-001,cheddar cheese,ADD,1.44,3,0,Weekly delivery
183,2026-02-26 12:21:00,oj-001,orange juice,WASTE,-0.08,3,0,Expired — composted
173,2026-02-26 12:50:00,cheese-001,cheddar cheese,USE,-0.11,3,0,Baking batch
181,2026-02-26 12:52:00,chicken-001,chicken breast,USE,-0.5,3,0,Customer order
182,2026-02-26 13:16:00,oj-001,orange juice,USE,-0.39,3,0,Lunch prep
164,2026-02-26 13:26:00,milk-001,whole milk,RESTOCK,16.43,3,0,Emergency restock
165,2026-02-26 13:32:00,coffee-001,coffee bean,USE,-49.9,3,0,Afternoon service
177,2026-02-26 14:14:00,cheese-001,cheddar cheese,RESTOCK,1.68,3,0,Supplier drop-off
171,2026-02-26 14:17:00,egg-001,egg,USE,-5.65,3,0,Customer order
176,2026-02-26 15:00:00,cheese-001,cheddar cheese,ADD,0.71,3,0,Supplier drop-off
169,2026-02-26 16:39:00,egg-001,egg,USE,-2.73,3,0,Daily prep
170,2026-02-26 16:45:00,egg-001,egg,USE,-3.6,3,0,Morning rush
172,2026-02-26 18:42:00,egg-001,egg,USE,-2.07,3,0,Staff meal
168,2026-02-26 18:44:00,bread-001,sourdough bread,USE,-0.97,3,0,Daily prep
167,2026-02-26 19:07:00,bread-001,sourdough bread,USE,-1.2,3,0,Afternoon service
199,2026-02-27 07:09:00,tomato-001,tomato,WASTE,-0.68,4,0,Mould found
186,2026-02-27 07:13:00,coffee-001,coffee bean,ADD,752.47,4,0,Weekly delivery
190,2026-02-27 08:06:00,apple-001,organic apple,USE,-1.75,4,0,Recipe testing
189,2026-02-27 08:32:00,apple-001,organic apple,USE,-3.73,4,0,Afternoon service
208,2026-02-27 08:53:00,oj-001,orange juice,ADD,3.27,4,0,Supplier drop-off
185,2026-02-27 09:31:00,milk-001,whole milk,ADD,7.89,4,0,Farmers market purchase
188,2026-02-27 09:31:00,apple-001,organic apple,USE,-1.53,4,0,Afternoon service
198,2026-02-27 09:51:00,tomato-001,tomato,USE,-1.81,4,0,Evening special
193,2026-02-27 10:51:00,cheese-001,cheddar cheese,USE,-0.13,4,0,Afternoon service
206,2026-02-27 11:06:00,oj-001,orange juice,USE,-0.38,4,0,Recipe testing
207,2026-02-27 11:27:00,oj-001,orange juice,USE,-0.45,4,0,Recipe testing
204,2026-02-27 12:20:00,oj-001,orange juice,ADD,2.32,4,0,Supplier drop-off
187,2026-02-27 12:27:00,coffee-001,coffee bean,ADD,716.59,4,0,Wholesale order
197,2026-02-27 12:29:00,tomato-001,tomato,USE,-1.5,4,0,Smoothie bar
203,2026-02-27 12:57:00,oj-001,orange juice,USE,-0.3,4,0,Breakfast service
194,2026-02-27 13:32:00,yogurt-001,greek yogurt,RESTOCK,15.33,4,0,Supplier drop-off
196,2026-02-27 13:54:00,tomato-001,tomato,USE,-1.17,4,0,Customer order
192,2026-02-27 14:13:00,cheese-001,cheddar cheese,USE,-0.06,4,0,Daily prep
200,2026-02-27 15:39:00,chicken-001,chicken breast,USE,-0.51,4,0,Breakfast service
201,2026-02-27 15:53:00,chicken-001,chicken breast,USE,-0.45,4,0,Breakfast service
202,2026-02-27 16:57:00,chicken-001,chicken breast,USE,-0.46,4,0,Evening special
191,2026-02-27 17:07:00,bread-001,sourdough bread,USE,-0.97,4,0,Baking batch
205,2026-02-27 17:39:00,oj-001,orange juice,USE,-0.26,4,0,Smoothie bar
195,2026-02-27 19:18:00,yogurt-001,greek yogurt,USE,-0.88,4,0,Daily prep
215,2026-02-28 09:02:00,apple-001,organic apple,USE,-4.09,5,1,Lunch prep
211,2026-02-28 09:51:00,apple-001,organic apple,USE,-3.25,5,1,Baking batch
210,2026-02-28 09:53:00,coffee-001,coffee bean,ADD,578.27,5,1,Wholesale order
213,2026-02-28 11:08:00,apple-001,organic apple,USE,-5.42,5,1,Evening special
209,2026-02-28 11:10:00,milk-001,whole milk,USE,-1.19,5,1,Baking batch
217,2026-02-28 11:16:00,yogurt-001,greek yogurt,WASTE,-0.83,5,1,Expired — composted
221,2026-02-28 11:21:00,yogurt-001,greek yogurt,RESTOCK,19.51,5,1,Wholesale order
218,2026-02-28 12:07:00,yogurt-001,greek yogurt,USE,-3.18,5,1,Customer order
223,2026-02-28 13:16:00,chicken-001,chicken breast,USE,-0.82,5,1,Morning rush
225,2026-02-28 14:25:00,chicken-001,chicken breast,USE,-0.96,5,1,Breakfast service
222,2026-02-28 14:49:00,tomato-001,tomato,USE,-1.7,5,1,Evening special
214,2026-02-28 15:42:00,apple-001,organic apple,USE,-5.24,5,1,Evening special
220,2026-02-28 16:15:00,yogurt-001,greek yogurt,USE,-3.12,5,1,Evening special
219,2026-02-28 17:25:00,yogurt-001,greek yogurt,USE,-2.64,5,1,Daily prep
216,2026-02-28 17:58:00,cheese-001,cheddar cheese,USE,-0.13,5,1,Staff meal
224,2026-02-28 18:44:00,chicken-001,chicken breast,USE,-0.69,5,1,Lunch prep
226,2026-02-28 19:21:00,oj-001,orange juice,USE,-0.55,5,1,Recipe testing
212,2026-02-28 19:42:00,apple-001,organic apple,USE,-4.25,5,1,Lunch prep
240,2026-03-01 07:23:00,yogurt-001,greek yogurt,USE,-3.36,6,1,Afternoon service
247,2026-03-01 07:49:00,chicken-001,chicken breast,USE,-0.46,6,1,Evening special
233,2026-03-01 07:52:00,apple-001,organic apple,ADD,30.14,6,1,Wholesale order
239,2026-03-01 07:58:00,yogurt-001,greek yogurt,USE,-2.93,6,1,Daily prep
232,2026-03-01 08:03:00,apple-001,organic apple,USE,-3.4,6,1,Lunch prep
236,2026-03-01 08:24:00,bread-001,sourdough bread,USE,-2.99,6,1,Recipe testing
249,2026-03-01 09:15:00,oj-001,orange juice,USE,-0.74,6,1,Lunch prep
242,2026-03-01 10:13:00,yogurt-001,greek yogurt,ADD,10.52,6,1,Wholesale order
246,2026-03-01 11:47:00,chicken-001,chicken breast,USE,-0.83,6,1,Smoothie bar
237,2026-03-01 12:52:00,egg-001,egg,USE,-8.56,6,1,Baking batch
229,2026-03-01 13:45:00,milk-001,whole milk,RESTOCK,20.98,6,1,Weekly delivery
243,2026-03-01 14:02:00,yogurt-001,greek yogurt,RESTOCK,26.44,6,1,Farmers market purchase
230,2026-03-01 14:43:00,coffee-001,coffee bean,USE,-120.27,6,1,Morning rush
235,2026-03-01 14:45:00,bread-001,sourdough bread,USE,-1.96,6,1,Catering order
231,2026-03-01 15:38:00,coffee-001,coffee bean,WASTE,-33.51,6,1,Damaged in storage
238,2026-03-01 15:48:00,cheese-001,cheddar cheese,USE,-0.14,6,1,Evening special
244,2026-03-01 16:08:00,tomato-001,tomato,USE,-2.88,6,1,Evening special
227,2026-03-01 16:33:00,milk-001,whole milk,USE,-0.84,6,1,Morning rush
245,2026-03-01 17:04:00,chicken-001,chicken breast,USE,-0.4,6,1,Baking batch
248,2026-03-01 17:12:00,oj-001,orange juice,USE,-0.63,6,1,Lunch prep
250,2026-03-01 17:47:00,oj-001,orange juice,USE,-0.72,6,1,Recipe testing
228,2026-03-01 19:17:00,milk-001,whole milk,USE,-2.2,6,1,Evening special
234,2026-03-01 19:36:00,bread-001,sourdough bread,USE,-3.09,6,1,Evening special
241,2026-03-01 19:55:00,yogurt-001,greek yogurt,RESTOCK,26.58,6,1,Wholesale order
258,2026-03-02 08:03:00,egg-001,egg,RESTOCK,77.27,0,0,Weekly delivery
262,2026-03-02 08:28:00,tomato-001,tomato,USE,-1.26,0,0,Lunch prep
267,2026-03-02 08:34:00,oj-001,orange juice,USE,-0.46,0,0,Baking batch
253,2026-03-02 08:35:00,milk-001,whole milk,USE,-1.24,0,0,Smoothie bar
266,2026-03-02 09:58:00,oj-001,orange juice,USE,-0.26,0,0,Daily prep
264,2026-03-02 10:21:00,chicken-001,chicken breast,ADD,6.48,0,0,Emergency restock
263,2026-03-02 15:38:00,tomato-001,tomato,RESTOCK,14.04,0,0,Emergency restock
252,2026-03-02 16:31:00,milk-001,whole milk,USE,-1.33,0,0,Staff meal
259,2026-03-02 16:55:00,cheese-001,cheddar cheese,USE,-0.08,0,0,Morning rush
251,2026-03-02 16:56:00,milk-001,whole milk,USE,-1.38,0,0,Smoothie bar
261,2026-03-02 17:32:00,yogurt-001,greek yogurt,ADD,10.37,0,0,Supplier drop-off
255,2026-03-02 17:48:00,milk-001,whole milk,USE,-0.58,0,0,Baking batch
257,2026-03-02 18:14:00,bread-001,sourdough bread,USE,-1.79,0,0,Morning rush
268,2026-03-02 18:17:00,oj-001,orange juice,USE,-0.38,0,0,Afternoon service
254,2026-03-02 18:38:00,milk-001,whole milk,USE,-1.26,0,0,Smoothie bar
265,2026-03-02 18:55:00,chicken-001,chicken breast,USE,-0.68,0,0,Evening special
260,2026-03-02 19:11:00,cheese-001,cheddar cheese,USE,-0.14,0,0,Smoothie bar
256,2026-03-02 19:34:00,coffee-001,coffee bean,USE,-33.94,0,0,Breakfast service
290,2026-03-03 07:06:00,chicken-001,chicken breast,USE,-0.29,1,0,Afternoon service
278,2026-03-03 07:32:00,bread-001,sourdough bread,RESTOCK,13.45,1,0,Weekly delivery
281,2026-03-03 08:41:00,bread-001,sourdough bread,USE,-1.59,1,0,Lunch prep
271,2026-03-03 09:19:00,milk-001,whole milk,USE,-1.42,1,0,Catering order
288,2026-03-03 09:43:00,tomato-001,tomato,RESTOCK,20.67,1,0,Farmers market purchase
287,2026-03-03 09:57:00,yogurt-001,greek yogurt,USE,-1.63,1,0,Evening special
293,2026-03-03 10:01:00,oj-001,orange juice,USE,-0.3,1,0,Smoothie bar
272,2026-03-03 10:08:00,coffee-001,coffee bean,USE,-79.04,1,0,Baking batch
274,2026-03-03 11:17:00,apple-001,organic apple,WASTE,-0.65,1,0,Expired — composted
282,2026-03-03 12:08:00,egg-001,egg,USE,-4.83,1,0,Evening special
276,2026-03-03 12:21:00,bread-001,sourdough bread,USE,-1.43,1,0,Daily prep
275,2026-03-03 12:31:00,apple-001,organic apple,USE,-2.39,1,0,Baking batch
289,2026-03-03 12:36:00,tomato-001,tomato,USE,-1.63,1,0,Morning rush
280,2026-03-03 12:38:00,bread-001,sourdough bread,USE,-1.1,1,0,Morning rush
273,2026-03-03 12:53:00,coffee-001,coffee bean,USE,-66.11,1,0,Evening special
294,2026-03-03 13:41:00,oj-001,orange juice,USE,-0.43,1,0,Catering order
283,2026-03-03 14:07:00,cheese-001,cheddar cheese,USE,-0.12,1,0,Afternoon service
277,2026-03-03 14:31:00,bread-001,sourdough bread,USE,-1.13,1,0,Lunch prep
285,2026-03-03 15:41:00,yogurt-001,greek yogurt,USE,-1.91,1,0,Baking batch
284,2026-03-03 16:21:00,yogurt-001,greek yogurt,RESTOCK,28.69,1,0,Farmers market purchase
291,2026-03-03 16:23:00,chicken-001,chicken breast,USE,-0.68,1,0,Smoothie bar
269,2026-03-03 17:45:00,milk-001,whole milk,RESTOCK,20.65,1,0,Farmers market purchase
292,2026-03-03 18:19:00,chicken-001,chicken breast,USE,-0.42,1,0,Morning rush
286,2026-03-03 18:22:00,yogurt-001,greek yogurt,USE,-2.04,1,0,Baking batch
295,2026-03-03 19:11:00,oj-001,orange juice,WASTE,-0.1,1,0,Past expiry date
270,2026-03-03 19:43:00,milk-001,whole milk,USE,-0.52,1,0,Afternoon service
279,2026-03-03 19:51:00,bread-001,sourdough bread,RESTOCK,13.65,1,0,Wholesale order
315,2026-03-04 07:00:00,oj-001,orange juice,RESTOCK,6.45,2,0,Farmers market purchase
300,2026-03-04 07:39:00,coffee-001,coffee bean,RESTOCK,609.03,2,0,Farmers market purchase
313,2026-03-04 08:00:00,chicken-001,chicken breast,USE,-0.73,2,0,Morning rush
306,2026-03-04 08:08:00,egg-001,egg,USE,-3.08,2,0,Customer order
311,2026-03-04 10:15:00,tomato-001,tomato,USE,-0.84,2,0,Staff meal
304,2026-03-04 11:11:00,bread-001,sourdough bread,USE,-1.47,2,0,Evening special
316,2026-03-04 11:47:00,oj-001,orange juice,USE,-0.39,2,0,Daily prep
310,2026-03-04 12:19:00,tomato-001,tomato,USE,-1.12,2,0,Breakfast service
298,2026-03-04 12:46:00,milk-001,whole milk,RESTOCK,16.38,2,0,Wholesale order
297,2026-03-04 13:36:00,milk-001,whole milk,USE,-1.47,2,0,Smoothie bar
